Name,Date,Title,Review,Rating,Type,Details,positive,negative,neutral,compound
Ajay Kr Chaturvedi,Reviewed in India on 3 December 2023,The BEST iPhone EVERRRRRRR! : iPhone 15 review after 2 weeks of continuous use,"The display is impressively bright, despite the 60 Hz, which I thought might be a drawback coming from a 120 Hz Android device. Surprisingly, it feels the same. The battery life is solid, providing around 1.5 days for mild phone users. As a developer, with light usage for content consumption and social media, I get around 8 hours of screen on time with 25-30% battery left. It charges quickly to 50% and then trickle charges to 100%, adapting to usage patterns for faster charging. Initially, there were some battery drain and heating issues, but they resolved as the phone learned my usage patterns.Now, the camera is impressive, especially in low light conditions. Despite lacking a dedicated long exposure mode, the default night option, averaging around 3 seconds, captures details even in the dark. Compared to the iPhone 14 and S21FE, the camera quality is top-notch. The auto portrait detection is a standout feature. Believe me no one explain the real use of that auto portrait theoretically until you try it.In terms of network, the dual 5G standby supports Vi and JIO 5G (eSim). Inside my house, I get around 500 Mbps, and outside easily surpass 1 Gbps. Call quality is excellent, with two introduced modes in the mic option available in the control center.This is my personal opinion; I'll update if I find anything noteworthy.",5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.105,0.052,0.843,0.9111
Zaidi,Reviewed in India on 14 August 2024,Good product,Running smoothly..no problem at all.Camera is good and battery life is also good manage one day charging..also charge with any type c charging.Worth it phone under this range.,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.178,0.083,0.738,0.4767
Mohammed Ajaas,Reviewed in India on 12 July 2024,No big changes. Disappointed,Not that good. Phone is handy and for me I doesn’t make sense as iPhone X and 15 looks similar and refresh rate too poor. They charged more but big theifs even their competitors are eager to fetch money from customers but not ready to give worth the money. Customers need to slowly have to reject these brands and btw last 14 years using Apple products but it is worst in the sense not much up gradation. iPhone 15 pro max even pathetic,4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.056,0.221,0.722,-0.9474
Vishal Mathur,Reviewed in India on 22 August 2024,Good product but costly,Apple iPhone quite costly but quite good interface and operations systemIf you have no issue with spending money this is product you can buy.,4.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.146,0.141,0.713,0.2831
Govindaiah G,Reviewed in India on 4 September 2024,Good,Good phone from apple,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.492,0,0.508,0.4404
Prashant Dixit,Reviewed in India on 1 September 2024,Nyc product,Value for money..better quality,5.0 out of 5 stars,Apple iPhone 15,No Details,0.444,0,0.556,0.34
"I have seen the item a little bit late, the quality is quite chip and not too good",Reviewed in India on 24 July 2024,Good,I like,4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,1,0,0,0.3612
Indranil Bag,Reviewed in India on 30 August 2024,🥰,🥰,5.0 out of 5 stars,Apple iPhone 15,Colour: GreenSize: 128 GB,0,0,0,0
SALEEM,Reviewed in India on 25 August 2024,Apple iphone,Good and well.offer is budget saving,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.367,0,0.633,0.4404
Banashree Swain,Reviewed in India on 27 August 2024,"Very nice, very happy with product",Excellent,5.0 out of 5 stars,Apple iPhone 15,No Details,1,0,0,0.5719
Placeholder,Reviewed in India on 28 August 2024,iPhone,Good quality,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.744,0,0.256,0.4404
Rajota Saha,Reviewed in India on 23 August 2024,Good,Love it,5.0 out of 5 stars,Apple iPhone 15,Colour: PinkSize: 128 GB,0.808,0,0.192,0.6369
Rajesh,Reviewed in India on 21 August 2024,Loved it,Good camera quality,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.592,0,0.408,0.4404
RAKESH KUMAR SHARMA,Reviewed in India on 18 August 2024,amazing,beautiful!!!!,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0,0,1,0
Amazon Customer,Reviewed in India on 3 July 2024,Feedback iPhone,good,4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,1,0,0,0.4404
Rajeev Sharma,Reviewed in India on 2 August 2024,Best product and nicely delivered by amazon,You can found best apples in the forest of amazon only. Nice product.,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.465,0,0.535,0.8271
Vijay Raj Jayaraj,Reviewed in India on 29 July 2024,Genuine Product,This is my second apple order from Amazon. I've also directly ordered from Apple website and I can say that the product is genuine and exactly same as when I get from Apple website. Quick delivery and securely sealed. Kudos to Amazon for trustworthy delivery.,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.25,0,0.75,0.8934
Swati P. Marathe,Reviewed in India on 24 May 2024,Quality and looks,"Sound quality is very good. Performance is good and transfer of data from my old iPhone happened very fast. Software update was completed immediately after starting the phone . Only problem is that the charging cable is different and it doesn’t fit into USB port, so one must have an adapter or order one along with the iPhone.",4.0 out of 5 stars,Apple iPhone 15,Colour: PinkSize: 128 GB,0.138,0.042,0.821,0.734
Sonu kumawat,Reviewed in India on 9 August 2024,Amezing,I like it,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.714,0,0.286,0.3612
chetankumar,Reviewed in India on 5 August 2024,Nice,Nice phone,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.737,0,0.263,0.4215
BALWINDER SINGH,Reviewed in India on 17 June 2024,Good product,Delivery was satisfactorilyProduct was good and safe,4.0 out of 5 stars,Apple iPhone 15,No Details,0.537,0,0.463,0.7003
kedar tondare,Reviewed in India on 31 July 2024,Abb hum kya bole,"it’s the best smart phone ( based on personal preference ) available in the market , by all means it does justifies it’s hype.also got it at such a stealing price, thank you Amazon🙏",5.0 out of 5 stars,Apple iPhone 15,Colour: PinkSize: 128 GB,0.24,0.095,0.665,0.6908
Placeholder,Reviewed in India on 1 September 2024,Good,Good,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,1,0,0,0.4404
shoiab,Reviewed in India on 20 August 2024,Expensive,As always apple products are over priced,3.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0,0,1,0
YOGESH MASURIA,Reviewed in India on 2 August 2024,very good product,100% ok,5.0 out of 5 stars,Apple iPhone 15,Colour: PinkSize: 128 GB,0.688,0,0.312,0.296
Arifa K.,Reviewed in India on 28 May 2024,This is the Indian version,Delivered on same day. Indian version. SBI promo did not work as mentioned. So opted for icici emi on amazon pay card. Nothing to say about iphone. There are plenty of reviews on that.,4.0 out of 5 stars,Apple iPhone 15,No Details,0.048,0.04,0.912,0.0772
Haneef,Reviewed in India on 31 July 2024,Great,Good price,5.0 out of 5 stars,Apple iPhone 15,No Details,0.744,0,0.256,0.4404
First of all tqfir delivery boys for saving our time.The clock is toooooooo gd I recommend everyone if nessary don't think twice u can buy .I,Reviewed in India on 25 July 2024,Good,What to tell about apple product security reasons excellent,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.466,0,0.534,0.7269
Amazon Customer,Reviewed in India on 24 July 2024,Authentic product and 5 star for secured delivery.,Authentic product and 5 star for secured delivery. The seller was genuine and trustworthy.,5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.364,0,0.636,0.743
Prakash V.,Reviewed in India on 26 July 2024,Security and Design for comfort,CAMERA EXCELLENT.Charger should be included.,5.0 out of 5 stars,Apple iPhone 15,Colour: GreenSize: 128 GB,0,0,1,0
Karthik,Reviewed in India on 2 August 2024,photos super,4 people found this helpful,5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.52,0,0.48,0.5023
Geetika Bali,Reviewed in India on 24 May 2024,Not bad,"4* because there’s always room for improvement. For a phone that pricey, I expected it'll dance and come into my lap for unboxing",4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.13,0,0.87,0.4588
Kumar Himanshu,Reviewed in India on 28 April 2024,Does the job,"I've switched from iPhone 13 to 15 and this transition definitely feels worthwhile. Got this for 66,000 using my SBI credit card + ongoing offers on Amazon.The delivery was secure and the packaging was impenetrable. The device interface is user friendly and the camera......well it's iPhone so you already know.",4.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.232,0,0.768,0.9062
Ankit kaushik,Reviewed in India on 21 July 2024,Better than any other iphone,2 people found this helpful,5.0 out of 5 stars,Apple iPhone 15,Colour: PinkSize: 128 GB,0.52,0,0.48,0.5023
sonu kumar,Reviewed in India on 12 July 2024,Only original phone,iPhone is only Apple phone. No other wise phone comparative in market than iPhone.,5.0 out of 5 stars,Apple iPhone 15,No Details,0.179,0.127,0.694,0.2263
Venkat,Reviewed in India on 20 May 2024,For sensor,This phone iphone 15 have not finger sensor,4.0 out of 5 stars,Apple iPhone 15,No Details,0,0,1,0
firoz sheikh,Reviewed in India on 25 May 2024,Good,Overall good,4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.744,0,0.256,0.4404
Puspok gogoi,Reviewed in India on 23 May 2024,Camera quality is good,All good but have little heating problem.,4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.193,0.311,0.496,-0.292
Placeholder,Reviewed in India on 14 May 2024,iPhone only if you want to show off,Fell to the peer pressure of my grown-up child.....,4.0 out of 5 stars,Apple iPhone 15,Colour: GreenSize: 128 GB,0,0.216,0.784,-0.296
Prashant P. Deshmukh,Reviewed in India on 30 April 2024,Superb…..very happy with purchase,"At starting am hesitating to buy this much costly phone as I am android user and mostly I used android phones below 20k so am not able to take decision to buy or not but I purchased and now am very happy and not getting feeling like why I spend almost 80k for a phone because am enjoying ui interface and many iPhone functions and feel I didn’t purchase this brand for show off actually am big fan of Steve jobs and I like apple products so overall experience about this phone is awesome and am not getting any regret feeling camera is very good , battery backup also good ,user interface is awesome",5.0 out of 5 stars,Apple iPhone 15,No Details,0.258,0.081,0.661,0.9856
Mohit Raj,Reviewed in India on 3 July 2024,Good,Like value for money,5.0 out of 5 stars,Apple iPhone 15,Colour: GreenSize: 128 GB,0.71,0,0.29,0.5994
Rajesh,Reviewed in India on 12 May 2024,Iphone 15,Excellent phone,4.0 out of 5 stars,Apple iPhone 15,Colour: PinkSize: 128 GB,0.787,0,0.213,0.5719
subhadip manna,Reviewed in India on 12 October 2023,It's about the great iPhone 15,"Everyone know about pros , let's only talk about consBattery : worst than I expect . Many says it is iOS 17 behind poor battery life . Hardly 3-4 he if you travelling and your network changes frequently .. worst than my android devices .Performance : no doubt in performance , it's the best in the industry ,Camera : undoubtably very good in camera dipartment but I hardly take photos 😁iOS : verry smooth and many good things are missing . Call recording , call pick up haptic , smart dial and many more little but verry important feature ..Many youtuber says there is no such use of dynamic island but listen to me it is verry usefull and looking cool tooPrice : obviously it's not value for money but it's far better than 13 and 14 launch price which is same . Although this time iPhone 15 far better than 15 pro",4.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.169,0.111,0.72,0.9142
Rohit Sharma,Reviewed in India on 20 June 2024,Sb kuch hi important h,Experiencing first time 😍😍😍 Everything is amazing,5.0 out of 5 stars,Apple iPhone 15,No Details,0.388,0,0.612,0.5859
Sutharhr,Reviewed in India on 24 April 2024,It fine not that much extraordinary than 13,"Light weight,But battery is better working in 13",4.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.293,0,0.707,0.4404
Gowthami,Reviewed in India on 12 June 2024,iPhone 15,This was my first iPhone using experience.iPhone is better the android .Only draw back is it drain battery fast.,5.0 out of 5 stars,Apple iPhone 15,Colour: GreenSize: 128 GB,0.139,0,0.861,0.4404
